DisplayName;FirstName;LastName;SamAccountName;Email;AccountPassword;OrganizationalUnit;Initials;Company;Title
Nick John;Nick;John;nij;nij@nickogkarl.com;Password1234;OU=Users,OU=Nick,DC=nickogcarl,DC=local;sxy;NoC;Glad
Max Fraser;Max;Fraser;Max.Fraser;Max.Fraser@nickogkarl.com;Password1235;;sxy;NoC;CEO
Piers Bower;Piers;Bower;Piers.Bower;Piers.Bower@nickogkarl.com;Password1236;;sxy;NoC;WOW
Kylie Davidson;Kylie;Davidson;Kylie.Davidson;Kylie.Davidson@nickogkarl.com;Password1237;;sxy;NoC;Cake
Richard Grant;Richard;Grant;Richard.Grant;Richard.Grant@nickogkarl.com;Password1238;;sxy;NoC;Engineer
Boris Campbell;Boris;Campbell;Boris.Campbell;Boris.Campbell@nickogkarl.com;Password1239;;sxy;NoC;Engineer
Nicholas Murray;Nicholas;Murray;Nicholas.Murray;Nicholas.Murray@nickogkarl.com;Password1240;;sxy;NoC;Eater
Leonard Clark;Leonard;Clark;Leonard.Clark;Leonard.Clark@nickogkarl.com;Password1241;;sxy;NoC;Smelly
Ruth Dickens;Ruth;Dickens;Ruth.Dickens;nij@nickogkarl.com;Password1242;;sxy;NoC;Smelly
Jonathan Fisher;Jonathan;Fisher;Jonathan.Fisher;Jonathan.Fisher@nickogkarl.com;Password1243;;sxy;NoC;Smelly
Grace Rees;Grace;Rees;Grace.Rees;Grace.Rees@nickogkarl.com;Password1244;;sxy;NoC;Smelly
